KNC/USDT,"{'UNISWAPBYSYMBOLV2': {'buy_price_wei': 0.443025, 'sell_price_wei': 0.050602846022302805}, 'KYBERBYSYMBOLV1': {'buy_price_wei': 3.06839, 'sell_price_wei': 3.04854365348}, '%': 5.881200052999266, 'code': 1, 'swap_1': 'swap 1 KNC for 0.443025 USDT in UNISWAPBYSYMBOLV2', 'swap_2': 'swap 3.04854365348 USDT for 1 KNC in KYBERBYSYMBOLV1'}"
KNC/LINK,"{'UNISWAPBYSYMBOLV2': {'buy_price_wei': 0.05842363173779652, 'sell_price_wei': 0.03831775906498912}, 'KYBERBYSYMBOLV1': {'buy_price_wei': 0.19723, 'sell_price_wei': 0.1951047326011652}, '%': 2.339483130333104, 'code': 1, 'swap_1': 'swap 1 KNC for 0.05842363173779652 LINK in UNISWAPBYSYMBOLV2', 'swap_2': 'swap 0.1951047326011652 LINK for 1 KNC in KYBERBYSYMBOLV1'}"
LINK/WBTC,"{'UNISWAPBYSYMBOLV2': {'buy_price_wei': 0.00012688, 'sell_price_wei': 2.826171476852383e-05}, 'KYBERBYSYMBOLV1': {'buy_price_wei': 0.000355, 'sell_price_wei': 0.0003541005933}, '%': 1.7908306533732659, 'code': 1, 'swap_1': 'swap 1 LINK for 0.00012688 WBTC in UNISWAPBYSYMBOLV2', 'swap_2': 'swap 0.0003541005933 WBTC for 1 LINK in KYBERBYSYMBOLV1'}"
KNC/MKR,"{'UNISWAPBYSYMBOLV2': {'buy_price_wei': 5956056.95166793, 'sell_price_wei': 4284182.660470094}, 'KYBERBYSYMBOLV1': {'buy_price_wei': 14650000.0, 'sell_price_wei': 14470579.03135825}, '%': 1.4295568609876905, 'code': 1, 'swap_1': 'swap 1 KNC for 5956056.95166793 MKR in UNISWAPBYSYMBOLV2', 'swap_2': 'swap 14470579.03135825 MKR for 1 KNC in KYBERBYSYMBOLV1'}"
MKR/KNC,"{'UNISWAPBYSYMBOLV2': {'buy_price_wei': 1.40097598667e-07, 'sell_price_wei': 1.392582655475301e-07}, 'KYBERBYSYMBOLV1': {'buy_price_wei': 6.74251372e-08, 'sell_price_wei': 6.66010840294259e-08}, '%': 1.0653760797616902, 'code': 2, 'swap_1': 'swap 1 MKR for 1.392582655475301e-07 KNC in KYBERBYSYMBOLV1', 'swap_2': 'swap 6.74251372e-08 KNC for 1 MKR in UNISWAPBYSYMBOLV2'}"
USDC/BNT,"{'UNISWAPBYSYMBOLV2': {'buy_price_wei': 0.21234994892007694, 'sell_price_wei': 0.16788110906687687}, 'KYBERBYSYMBOLV1': {'buy_price_wei': 0.392656, 'sell_price_wei': 0.389050239952}, '%': 0.8321183590132555, 'code': 1, 'swap_1': 'swap 1 USDC for 0.21234994892007694 BNT in UNISWAPBYSYMBOLV2', 'swap_2': 'swap 0.389050239952 BNT for 1 USDC in KYBERBYSYMBOLV1'}"
TUSD/DAI,"{'UNISWAPBYSYMBOLV2': {'buy_price_wei': 0.5723710466337247, 'sell_price_wei': 0.2974829460503885}, 'KYBERBYSYMBOLV1': {'buy_price_wei': 0.999728, 'sell_price_wei': 0.9943108741151304}, '%': 0.7371788457207131, 'code': 1, 'swap_1': 'swap 1 TUSD for 0.5723710466337247 DAI in UNISWAPBYSYMBOLV2', 'swap_2': 'swap 0.9943108741151304 DAI for 1 TUSD in KYBERBYSYMBOLV1'}"
LINK/KNC,"{'UNISWAPBYSYMBOLV2': {'buy_price_wei': 3.0038666168877075, 'sell_price_wei': 0.3735628753904452}, 'KYBERBYSYMBOLV1': {'buy_price_wei': 5.015067, 'sell_price_wei': 4.959983249330361}, '%': 0.6511995644032215, 'code': 1, 'swap_1': 'swap 1 LINK for 3.0038666168877075 KNC in UNISWAPBYSYMBOLV2', 'swap_2': 'swap 4.959983249330361 KNC for 1 LINK in KYBERBYSYMBOLV1'}"
LINK/BNT,"{'UNISWAPBYSYMBOLV2': {'buy_price_wei': 3.7105817134444457, 'sell_price_wei': 2.445350578057516}, 'KYBERBYSYMBOLV1': {'buy_price_wei': 6.081505, 'sell_price_wei': 6.039195178784867}, '%': 0.6275602170148207, 'code': 1, 'swap_1': 'swap 1 LINK for 3.7105817134444457 BNT in UNISWAPBYSYMBOLV2', 'swap_2': 'swap 6.039195178784867 BNT for 1 LINK in KYBERBYSYMBOLV1'}"
DAI/BNT,"{'UNISWAPBYSYMBOLV2': {'buy_price_wei': 0.24414724530104542, 'sell_price_wei': 0.21403885534307268}, 'KYBERBYSYMBOLV1': {'buy_price_wei': 0.39226, 'sell_price_wei': 0.388483385089866}, '%': 0.5911847975628278, 'code': 1, 'swap_1': 'swap 1 DAI for 0.24414724530104542 BNT in UNISWAPBYSYMBOLV2', 'swap_2': 'swap 0.388483385089866 BNT for 1 DAI in KYBERBYSYMBOLV1'}"
